,Title,Author,Publisher,Description,Weeks on List,Date,Main Category,Subcategory
2,THE DAY THE CRAYONS QUIT,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,Problems arise when Duncan’s crayons revolt.,367,2023-07-16,CHILDREN,Children’s Picture Books
3,HOW TO CATCH A MERMAID,Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Wonderland,A young girl attempts to catch a mermaid and befriend her.,14,2023-07-16,CHILDREN,Children’s Picture Books
4,REPEAT AFTER ME,Jazmyn Simon and Dulé Hill. Illustrated by Shamar Knight-Justice,Random House,Affirmations for young children.,2,2023-07-16,CHILDREN,Children’s Picture Books
5,THE CRAYONS GO BACK TO SCHOOL,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,The crayons go back to school and can't wait for art class.,3,2023-07-16,CHILDREN,Children’s Picture Books
6,WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,"Little, Brown",A cheerleading chicken boosts readers' self-esteem.,12,2023-07-16,CHILDREN,Children’s Picture Books
7,KNIGHT OWL,Christopher Denise,Christy Ottaviano,A young owl must prove himself when an intruder comes to the castle.,7,2023-07-16,CHILDREN,Children’s Picture Books
8,THE SOUR GRAPE,Jory John and Pete Oswald,HarperCollins,"A grape hold grudges against everyone, then re-evaluates life when one is held against him.",14,2023-07-16,CHILDREN,Children’s Picture Books
9,"TIME FOR SCHOOL, LITTLE BLUE TRUCK",Alice Schertle. Illustrated by Jill McElmurry,Clarion,Blue gives a friend a ride to school.,28,2023-07-16,CHILDREN,Children’s Picture Books
0,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,"A beach house, summer love and enduring friendships.",63,2023-07-16,CHILDREN,Children’s Series
1,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,92,2023-07-16,CHILDREN,Children’s Series
2,DIARY OF A WIMPY KID,tten and illustrated by Jeff Kinney,Amulet,The travails and challenges of adolescence.,746,2023-07-16,CHILDREN,Children’s Series
3,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,745,2023-07-16,CHILDREN,Children’s Series
4,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV.",282,2023-07-16,CHILDREN,Children’s Series
5,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,Disney-Hyperion,A boy battles mythological monsters.,679,2023-07-16,CHILDREN,Children’s Series
6,THE INHERITANCE GAMES,Jennifer Lynn Barnes,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,44,2023-07-16,CHILDREN,Children’s Series
7,THE ONE AND ONLY,Katherine Applegate,HarperCollins,"The stories of Ivan, Bob and Ruby.",9,2023-07-16,CHILDREN,Children’s Series
8,WINGS OF FIRE,Tui T. Sutherland,Scholastic,Only the five dragonets of destiny can unite the seven warring dragon tribes.,211,2023-07-16,CHILDREN,Children’s Series
9,CAPTAIN UNDERPANTS,tten and illustrated by Dav Pilkey,Scholastic,Boys and their principal fight evil.,320,2023-07-16,CHILDREN,Children’s Series
0,FIVE SURVIVE,Holly Jackson,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,31,2023-07-16,CHILDREN,Young Adult Hardcover
1,SOLITAIRE,Alice Oseman,Scholastic,"Tori Spring is determined to find out who's behind the blog called Solitaire, which has caused serious pranks at her school.",9,2023-07-16,CHILDREN,Young Adult Hardcover
2,NICK AND CHARLIE,Alice Oseman,Scholastic,Nick and Charlie question whether their love is strong enough to survive being apart when Nick leaves for university.,26,2023-07-16,CHILDREN,Young Adult Hardcover
3,DIVINE RIVALS,Rebecca Ross,Wednesday,Two young rival journalists find love through a magical connection.,2,2023-07-16,CHILDREN,Young Adult Hardcover
4,THE FIRST TO DIE AT THE END,Adam Silvera,Quill Tree,"In this prequel to ""They Both Die at the End,"" Orion and Valentino attend the premiere of Death-Cast in Times Square.",39,2023-07-16,CHILDREN,Young Adult Hardcover
5,GIRLS LIKE GIRLS,Hayley Kiyoko,Wednesday,Two girls struggle with their feelings for each other.,5,2023-07-16,CHILDREN,Young Adult Hardcover
6,LIGHTLARK,Alex Aster,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,45,2023-07-16,CHILDREN,Young Adult Hardcover
7,WARRIOR GIRL UNEARTHED,Angeline Boulley,Holt,Perry and Pauline Firekeeper-Birch discover that a local university is holding on to deceased Anishinaabe remains.,8,2023-07-16,CHILDREN,Young Adult Hardcover
8,YOU'RE NOT SUPPOSED TO DIE TONIGHT,Kalynn Bayron,Bloomsbury,"Charity, a counselor at a horror-simulation camp, finds herself in a real-life thriller.",2,2023-07-16,CHILDREN,Young Adult Hardcover
9,THE STOLEN HEIR,Holly Black,"Little, Brown",Runaway Queen Suren and Prince Oak embark on a deadly and dangerous mission to the north.,21,2023-07-16,CHILDREN,Young Adult Hardcover
0,THE FIVE-STAR WEEKEND,Elin Hilderbrand,"Little, Brown","After a tragedy, a popular food blogger brings friends from distinct times in her life to spend a weekend in Nantucket.",2,2023-07-09,FICTION,Combined Print & E-Book Fiction
1,HAPPY PLACE,Emily Henry,Berkley,A former couple pretend to be together for the sake of their friends during their annual getaway in Maine.,9,2023-07-09,FICTION,Combined Print & E-Book Fiction
2,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",8,2023-07-09,FICTION,Combined Print & E-Book Fiction
3,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,106,2023-07-09,FICTION,Combined Print & E-Book Fiction
4,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,33,2023-07-09,FICTION,Combined Print & E-Book Fiction
5,ZERO DAYS,Ruth Ware,Gallery/Scout,A security system tester must elude the police to find the person who killed her partner in marriage and in crime.,1,2023-07-09,FICTION,Combined Print & E-Book Fiction
6,"LOVE, THEORETICALLY",Ali Hazelwood,Berkley,A theoretical physicist finds her theories on love are tested by an experimental physicist.,2,2023-07-09,FICTION,Combined Print & E-Book Fiction
7,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",36,2023-07-09,FICTION,Combined Print & E-Book Fiction
8,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,6,2023-07-09,FICTION,Combined Print & E-Book Fiction
9,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,8,2023-07-09,FICTION,Combined Print & E-Book Fiction
10,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,81,2023-07-09,FICTION,Combined Print & E-Book Fiction
11,THE ONLY ONE LEFT,Riley Sager,Dutton,"In 1983, a mute woman confined to a wheelchair types out her side of the story about a family massacre to her home-health aide.",1,2023-07-09,FICTION,Combined Print & E-Book Fiction
12,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,102,2023-07-09,FICTION,Combined Print & E-Book Fiction
13,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,20,2023-07-09,FICTION,Combined Print & E-Book Fiction
14,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,2,2023-07-09,FICTION,Combined Print & E-Book Fiction
0,THE FIVE-STAR WEEKEND,Elin Hilderbrand,"Little, Brown","After a tragedy, a popular food blogger brings friends from distinct times in her life to spend a weekend in Nantucket.",2,2023-07-09,FICTION,Hardcover Fiction
1,HAPPY PLACE,Emily Henry,Berkley,A former couple pretend to be together for the sake of their friends during their annual getaway in Maine.,9,2023-07-09,FICTION,Hardcover Fiction
2,LESSONS IN CHEMISTRY,Bonnie Garmus,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,59,2023-07-09,FICTION,Hardcover Fiction
3,ZERO DAYS,Ruth Ware,Gallery/Scout,A security system tester must elude the police to find the person who killed her partner in marriage and in crime.,1,2023-07-09,FICTION,Hardcover Fiction
4,THE COVENANT OF WATER,Abraham Verghese,Grove,Three generations of a family living on South India’s Malabar Coast suffer the loss of a family member by drowning.,8,2023-07-09,FICTION,Hardcover Fiction
5,THE ONLY ONE LEFT,Riley Sager,Dutton,"In 1983, a mute woman confined to a wheelchair types out her side of the story about a family massacre to her home-health aide.",1,2023-07-09,FICTION,Hardcover Fiction
6,DEMON COPPERHEAD,Barbara Kingsolver,Harper,Winner of a 2023 Pulitzer Prize for fiction. A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,34,2023-07-09,FICTION,Hardcover Fiction
7,FOURTH WING,Rebecca Yarros,Red Tower,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",7,2023-07-09,FICTION,Hardcover Fiction
8,CROSS DOWN,James Patterson and Brendan DuBois,"Little, Brown",John Sampson seeks justice after Alex Cross gets injured.,3,2023-07-09,FICTION,Hardcover Fiction
9,HELLO BEAUTIFUL,Ann Napolitano,Dial,"In a homage to Louisa May Alcott’s “Little Women,” a young man’s dark past resurfaces as he gets to know the family of his college sweetheart.",15,2023-07-09,FICTION,Hardcover Fiction
10,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,Two friends find their partnership challenged in the world of video game design.,38,2023-07-09,FICTION,Hardcover Fiction
11,IDENTITY,Nora Roberts,St. Martin's,"After her roommate is killed by a con artist, a former Army brat builds a new life at her mother's home in Vermont.",5,2023-07-09,FICTION,Hardcover Fiction
12,LADY TAN'S CIRCLE OF WOMEN,Lisa See,Scribner,Tan Yunxian learns the pillars of Chinese medicine from her grandmother but is sent into an arranged marriage and pressured by her mother-in-law.,3,2023-07-09,FICTION,Hardcover Fiction
13,REMARKABLY BRIGHT CREATURES,Shelby Van Pelt,Ecco,A widow working the night shift at the Sowell Bay Aquarium is aided in solving a mystery by a giant Pacific octopus living there.,19,2023-07-09,FICTION,Hardcover Fiction
14,YELLOWFACE,R.F. Kuang,Morrow,"June Hayward, a struggling writer, must conceal the fact that she stole Athena Liu’s just-finished masterpiece after Liu’s sudden death.",5,2023-07-09,FICTION,Hardcover Fiction
0,IT ENDS WITH US,Colleen Hoover,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,112,2023-07-09,FICTION,Paperback Trade Fiction
1,"LOVE, THEORETICALLY",Ali Hazelwood,Berkley,A theoretical physicist finds her theories on love are tested by an experimental physicist.,2,2023-07-09,FICTION,Paperback Trade Fiction
2,IT STARTS WITH US,Colleen Hoover,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",36,2023-07-09,FICTION,Paperback Trade Fiction
3,ICEBREAKER,Hannah Grace,Atria,Anastasia might need the help of the captain of a college hockey team to get on the Olympic figure skating team.,19,2023-07-09,FICTION,Paperback Trade Fiction
4,VERITY,Colleen Hoover,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,98,2023-07-09,FICTION,Paperback Trade Fiction
5,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,120,2023-07-09,FICTION,Paperback Trade Fiction
6,UGLY LOVE,Colleen Hoover,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,100,2023-07-09,FICTION,Paperback Trade Fiction
7,THE HOUSEMAID,Freida McFadden,Grand Central,Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.,9,2023-07-09,FICTION,Paperback Trade Fiction
8,MEET ME AT THE LAKE,Carley Fortune,Berkley,"A decade after a one-day adventure, Will appears again in Fern’s life at her mother’s lakeside resort.",8,2023-07-09,FICTION,Paperback Trade Fiction
9,FAIRY TALE,Stephen King,Scribner,A high school kid inherits the keys to a shed that is a portal to another world where good and evil are at war.,3,2023-07-09,FICTION,Paperback Trade Fiction
10,TWISTED LOVE,Ana Huang,Bloom,The first book in the Twisted series. Secrets emerge when Ava explores things with her brother’s best friend.,2,2023-07-09,FICTION,Paperback Trade Fiction
11,THE LAST THING HE TOLD ME,Laura Dave,Marysue Rucci,Hannah Hall discovers truths about her missing husband and bonds with his daughter from a previous relationship.,13,2023-07-09,FICTION,Paperback Trade Fiction
12,BEACH READ,Emily Henry,Berkley,A relationship develops between a literary fiction author and a romance novelist as they both try to overcome writer’s block.,54,2023-07-09,FICTION,Paperback Trade Fiction
13,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,97,2023-07-09,FICTION,Paperback Trade Fiction
14,THE MIDNIGHT LIBRARY,Matt Haig,Penguin,Nora Seed finds a library beyond the edge of the universe that contains books with multiple possibilities of the lives one could have lived.,6,2023-07-09,FICTION,Paperback Trade Fiction
0,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,13,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
1,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,10,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
2,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil.",82,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
3,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",148,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
4,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,46,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
5,1964,Paul McCartney,Liveright,A collection of photographs taken with a 35-millimeter camera during the rise of the Beatles from the end of 1963 through early 1964.,2,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
6,THE IN-BETWEEN,Hadley Vlahos,Ballantine,A hospice nurse shares some of her most impactful experiences and questions some of society's beliefs around end-of-life care.,2,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
7,SIXTY-ONE,Chris Paul with Michael Wilbon,St. Martin's,"The N.B.A. player details the death of his grandfather, who started and operated the first Black-owned service station in North Carolina.",1,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
8,PAGEBOY,Elliot Page,Flatiron,The Oscar-nominated star details discovering himself as a trans person and navigating abuse in Hollywood.,3,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
9,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",66,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
10,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",24,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
11,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,82,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
12,THE REAL ANTHONY FAUCI,Robert F. Kennedy Jr.,Skyhorse,The anti-vaccine advocate gives his take on the former chief medical advisor to the president.,9,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
13,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,49,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
14,THE BOOK OF CHARLIE,David Von Drehle,Simon & Schuster,The Washington Post columnist shares stories and wisdom he learned from a neighbor who was more than a century old.,5,2023-07-09,NONFICTION,Combined Print & E-Book Nonfiction
0,OUTLIVE,Peter Attia with Bill Gifford,Harmony,A look at recent scientific research on aging and longevity.,13,2023-07-09,NONFICTION,Hardcover Nonfiction
1,THE WAGER,David Grann,Doubleday,The survivors of a shipwrecked British vessel on a secret mission during an imperial war with Spain have different accounts of events.,10,2023-07-09,NONFICTION,Hardcover Nonfiction
2,1964,Paul McCartney,Liveright,A collection of photographs taken with a 35-millimeter camera during the rise of the Beatles from the end of 1963 through early 1964.,2,2023-07-09,NONFICTION,Hardcover Nonfiction
3,I'M GLAD MY MOM DIED,Jennette McCurdy,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,46,2023-07-09,NONFICTION,Hardcover Nonfiction
4,SIXTY-ONE,Chris Paul with Michael Wilbon,St. Martin's,"The N.B.A. player details the death of his grandfather, who started and operated the first Black-owned service station in North Carolina.",1,2023-07-09,NONFICTION,Hardcover Nonfiction
5,PAGEBOY,Elliot Page,Flatiron,The Oscar-nominated star details discovering himself as a trans person and navigating abuse in Hollywood.,3,2023-07-09,NONFICTION,Hardcover Nonfiction
6,THE IN-BETWEEN,Hadley Vlahos,Ballantine,A hospice nurse shares some of her most impactful experiences and questions some of society's beliefs around end-of-life care.,2,2023-07-09,NONFICTION,Hardcover Nonfiction
7,SPARE,Prince Harry,Random House,"The Duke of Sussex details his struggles with the royal family, loss of his mother, service in the British Army and marriage to Meghan Markle.",24,2023-07-09,NONFICTION,Hardcover Nonfiction
8,THE BOOK OF CHARLIE,David Von Drehle,Simon & Schuster,The Washington Post columnist shares stories and wisdom he learned from a neighbor who was more than a century old.,5,2023-07-09,NONFICTION,Hardcover Nonfiction
9,WHAT AN OWL KNOWS,Jennifer Ackerman,Penguin Press,The author of “The Genius of Birds” explores new scientific discoveries about the brains and behavior of owls.,2,2023-07-09,NONFICTION,Hardcover Nonfiction
10,THE LIGHT WE CARRY,Michelle Obama,Crown,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,32,2023-07-09,NONFICTION,Hardcover Nonfiction
11,THE REAL ANTHONY FAUCI,Robert F. Kennedy Jr.,Skyhorse,The anti-vaccine advocate gives his take on the former chief medical advisor to the president.,17,2023-07-09,NONFICTION,Hardcover Nonfiction
12,GREENLIGHTS,Matthew McConaughey,Crown,The Academy Award-winning actor shares snippets from the diaries he kept over 35 years.,98,2023-07-09,NONFICTION,Hardcover Nonfiction
13,THE PUPPETEERS,Jason Chaffetz,Broadside,The Fox News contributor and former congressman argues that liberals remain in power no matter who gets elected.,3,2023-07-09,NONFICTION,Hardcover Nonfiction
14,LOOK FOR ME THERE,Luke Russert,Harper Horizon,The Emmy Award–winning journalist details how he grieved for his late father and sought to make his own way.,7,2023-07-09,NONFICTION,Hardcover Nonfiction
0,THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",244,2023-07-09,NONFICTION,Paperback Nonfiction
1,KILLERS OF THE FLOWER MOON,David Grann,Vintage,"The story of a murder spree in 1920s Oklahoma that targeted Osage Indians, whose lands contained oil. The fledgling F.B.I. intervened, ineffectively.",121,2023-07-09,NONFICTION,Paperback Nonfiction
2,CRYING IN H MART,Michelle Zauner,Vintage,"The daughter of a Korean mother and Jewish American father, and leader of the indie rock project Japanese Breakfast, describes creating her own identity after losing her mother to cancer.",13,2023-07-09,NONFICTION,Paperback Nonfiction
3,BRAIDING SWEETGRASS,Robin Wall Kimmerer,Milkweed Editions,A botanist and member of the Citizen Potawatomi Nation espouses having an understanding and appreciation of plants and animals.,167,2023-07-09,NONFICTION,Paperback Nonfiction
4,ALL ABOUT LOVE,bell hooks,Morrow,The late feminist icon explores the causes of a polarized society and the meaning of love.,81,2023-07-09,NONFICTION,Paperback Nonfiction
5,BORN A CRIME,Trevor Noah,One World,A memoir about growing up biracial in apartheid South Africa by the former host of “The Daily Show.”,194,2023-07-09,NONFICTION,Paperback Nonfiction
6,EDUCATED,Tara Westover,Random House,"The daughter of survivalists, who is kept out of school, educates herself enough to leave home for university.",55,2023-07-09,NONFICTION,Paperback Nonfiction
7,QUIETLY HOSTILE,Samantha Irby,Vintage,"A new collection of essays detailing personal and professional experiences by the author of “Wow, No Thank You.""",6,2023-07-09,NONFICTION,Paperback Nonfiction
8,ENTANGLED LIFE,Merlin Sheldrake,Random House,A look at various aspects of fungi and how they support nearly all living systems.,6,2023-07-09,NONFICTION,Paperback Nonfiction
9,HAPPY-GO-LUCKY,David Sedaris,Back Bay,The humorist portrays personal and public upheavals of his life in its seventh decade and the world in the time of a pandemic.,4,2023-07-09,NONFICTION,Paperback Nonfiction
10,OUTLIERS,Malcolm Gladwell,Back Bay,"Unexpected factors that explain why some people succeed, such as upbringing, timing and 10,000 hours of deliberate practice.",359,2023-07-09,NONFICTION,Paperback Nonfiction
11,"THINKING, FAST AND SLOW",Daniel Kahneman,"Farrar, Straus & Giroux",When we can and cannot trust our intuitions in making business and personal decisions.,367,2023-07-09,NONFICTION,Paperback Nonfiction
12,THE GLASS CASTLE,Jeannette Walls,Scribner,The author recalls how she and her siblings were constantly moved from one bleak place to another.,473,2023-07-09,NONFICTION,Paperback Nonfiction
13,THE BOOK OF DELIGHTS,Ross Gay,Algonquin,A collection of essays that celebrate small joys in an anxiety-inducing world.,2,2023-07-09,NONFICTION,Paperback Nonfiction
14,SOLITO,Javier Zamora,Hogarth,The poet describes his journey over two months from El Salvador to the United States to reconnect with his parents who left years earlier.,3,2023-07-09,NONFICTION,Paperback Nonfiction
0,ATOMIC HABITS,James Clear,Avery,,187,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
1,THE CREATIVE ACT,Rick Rubin with Neil Strauss,Penguin Press,,23,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
2,CAN'T HURT ME,David Goggins,Lioncrest,,39,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
3,"MAGNOLIA TABLE, VOL. 3",Joanna Gaines,Morrow,,8,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
4,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,Harper,,299,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
5,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,HarperOne,,186,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
6,"I WILL TEACH YOU TO BE RICH, SECOND EDITION",Ramit Sethi,Workman,,8,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
7,KNIFE DROP,Nick DiGiovanni,DK,,2,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
8,MAKE YOUR BED,William H. McRaven,Grand Central,,122,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
9,THE WISDOM OF THE BULLFROG,William H. McRaven,Grand Central,,9,2023-07-09,NONFICTION,"Advice, How-To & Miscellaneous"
0,THE SUN AND THE STAR,Rick Riordan and Mark Oshiro,Disney Hyperion,The demigods Will and Nico embark on a dangerous journey to the Underworld to rescue an old friend.,8,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
1,"CATCH A CRAYFISH, COUNT THE STARS",Steven Rinella with Brody Henderson. Illustrated by Max Temescu,Random House,Over 70 adventures and activities for outdoor kids.,2,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
2,REFUGEE,Alan Gratz,Scholastic,Three children in three different conflicts look for safe haven.,226,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
3,WONDER,R.J. Palacio,Knopf,A boy with a facial deformity starts school.,402,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
4,CROWNED,Kahran and Regis Bethencourt,St. Martin's,Reimagined fairy and folk tales with extensive photography.,3,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
5,WORST BROOMMATE EVER!,Wanda Coven. Illustrated by Anna Abramskaya,Simon Spotlight,"Old rivals, Heidi and Melanie find out they're roommates at the Broomsfield Academy.",3,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
6,THE SWIFTS: A DICTIONARY OF SCOUNDRELS,Beth Lincoln. Illustrated by Claire Powell,Dutton,Shenanigan Swift investigates murders during a family reunion treasure hunt.,14,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
7,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,159,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
8,ODDER,Katherine Applegate. Illustrated by Charles Santoso,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",40,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
9,FALL OF THE SCHOOL FOR GOOD AND EVIL,Soman Chainani. Illustrated by RaidesArt,HarperCollins,Tensions rise between the twins Rhian and Rafal as Peter Pan makes a bid to take over the school.,5,2023-07-09,CHILDREN,Children’s Middle Grade Hardcover
0,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,A celebration of future possibilities.,358,2023-07-09,CHILDREN,Children’s Picture Books
1,DRAGONS LOVE TACOS,Adam Rubin. Illustrated by Daniel Salmieri,Dial,What to serve your dragon-guests.,404,2023-07-09,CHILDREN,Children’s Picture Books
2,THE DAY THE CRAYONS QUIT,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,Problems arise when Duncan’s crayons revolt.,366,2023-07-09,CHILDREN,Children’s Picture Books
3,HOW TO CATCH A MERMAID,Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Wonderland,A young girl attempts to catch a mermaid and befriend her.,13,2023-07-09,CHILDREN,Children’s Picture Books
4,HOW TO CATCH A UNICORN,Adam Wallace. Illustrated by Andy Elkerton,Sourcebooks Wonderland,Children attempt to capture the mythical creature.,47,2023-07-09,CHILDREN,Children’s Picture Books
5,I WISH YOU MORE,Amy Krouse Rosenthal. Illustrated by Tom Lichtenheld,Chronicle,A bounty of good wishes.,87,2023-07-09,CHILDREN,Children’s Picture Books
6,WOO HOO! YOU'RE DOING GREAT!,Sandra Boynton,"Little, Brown",A cheerleading chicken boosts readers' self-esteem.,11,2023-07-09,CHILDREN,Children’s Picture Books
7,THE PIGEON WILL RIDE THE ROLLER COASTER!,Mo Willems,Union Square Kids,The Pigeon goes through a series of emotions leading up to a roller coaster ride.,16,2023-07-09,CHILDREN,Children’s Picture Books
8,THE SOUR GRAPE,Jory John and Pete Oswald,HarperCollins,"A grape hold grudges against everyone, then re-evaluates life when one is held against him.",13,2023-07-09,CHILDREN,Children’s Picture Books
9,THE CRAYONS GO BACK TO SCHOOL,Drew Daywalt. Illustrated by Oliver Jeffers,Philomel,The crayons go back to school and can't wait for art class.,2,2023-07-09,CHILDREN,Children’s Picture Books
0,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,Simon & Schuster,"A beach house, summer love and enduring friendships.",62,2023-07-09,CHILDREN,Children’s Series
1,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,91,2023-07-09,CHILDREN,Children’s Series
2,DIARY OF A WIMPY KID,tten and illustrated by Jeff Kinney,Amulet,The travails and challenges of adolescence.,745,2023-07-09,CHILDREN,Children’s Series
3,THE HUNGER GAMES,Suzanne Collins,Scholastic,"In a dystopia, a girl fights for survival on live TV.",281,2023-07-09,CHILDREN,Children’s Series
4,HARRY POTTER,J.K. Rowling,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,744,2023-07-09,CHILDREN,Children’s Series
