,FullName,URL
68,Anne Bishop,https://www.goodreads.com/book/show/40508188-wild-country?from_search=true&from_srp=true&qid=NR6HYHWcNk&rank=1
69,Donna Leon,https://www.goodreads.com/book/show/40642338-unto-us-a-son-is-given?from_search=true&from_srp=true&qid=C2WCkXifm6&rank=1
70,Brendan DuBois,https://www.goodreads.com/book/show/40242245-the-first-lady?from_search=true&from_srp=true&qid=oabwq3XCDn&rank=1
71,Joel C. Rosenberg,https://www.goodreads.com/book/show/40736004-the-persian-gamble?from_search=true&from_srp=true&qid=uj6L7iJZ2V&rank=1
72,C.J. Box,https://www.goodreads.com/book/show/40885349-wolf-pack?from_search=true&from_srp=true&qid=eeneaHLk3F&rank=1
73,Bella Andre,https://www.goodreads.com/book/show/43255678-your-love-is-mine?from_search=true&from_srp=true&qid=tqgj8iwzWI&rank=1
74,David Baldacci,https://www.goodreads.com/book/show/55399.Gardens_of_the_Moon?from_search=true&from_srp=true&qid=H0q0yUdvCB&rank=1
75,Clive Cussler,https://www.goodreads.com/book/show/38607766-celtic-empire?from_search=true&from_srp=true&qid=xucbAzIucK&rank=1
76,Dirk Cussler,https://www.goodreads.com/book/show/38607766-celtic-empire?from_search=true&from_srp=true&qid=xucbAzIucK&rank=1
77,Harlan Coben,https://www.goodreads.com/book/show/44781614-run-away?from_search=true&from_srp=true&qid=iAERt0Me5y&rank=1
78,Marie Force,https://www.goodreads.com/book/show/58471800-fatal-reckoning?from_search=true&from_srp=true&qid=YjQCH1mYld&rank=1
79,Iris Johansen,https://www.goodreads.com/book/show/39863403-dark-tribute?from_search=true&from_srp=true&qid=Qtcofg3S6J&rank=1
80,Jacqueline Winspear,https://www.goodreads.com/book/show/39087664-the-american-agent?from_search=true&from_srp=true&qid=2915L2XQJB&rank=1
81,Stuart Woods,https://www.goodreads.com/book/show/2721318-wild-card?from_search=true&from_srp=true&qid=bHMmSu8JFD&rank=1
82,James S.A. Corey,https://www.goodreads.com/book/show/28335698-tiamat-s-wrath?from_search=true&from_srp=true&qid=QTV1fS9kh3&rank=1
83,Bobby Hall,https://www.goodreads.com/book/show/43531103-supermarket?from_search=true&from_srp=true&qid=gZXkV28oqP&rank=1
84,Amor Towles,https://www.goodreads.com/book/show/34066798-a-gentleman-in-moscow?from_search=true&from_srp=true&qid=42zHtK9Zty&rank=1
85,J.A. Jance,https://www.goodreads.com/book/show/133830.The_A_List?from_search=true&from_srp=true&qid=KfGgfPIsxP&rank=1
